Samples,MS_filename,,BioAct_filename
F2_20211214,3338_F2_20211214_1_POS.mzML Peak area,,3338_F1_20211213_1_POS
F1_20211213,3338_F1_20211213_1_POS.mzML Peak area,,3338_F1_20211214_1_POS
F4_20211213,3338_F4_20211213_1_POS.mzML Peak area,,3338_F2_20211213_1_POS
F3_20211213,3338_F3_20211213_1_POS.mzML Peak area,,3338_F2_20211214_1_POS
F4_20211214,3338_F4_20211214_1_POS.mzML Peak area,,3338_F3_20211213_1_POS
F5_20211213,3338_F5_20211213_1_POS.mzML Peak area,,3338_F3_20211214_1_POS
F3_20211214,3338_F3_20211214_1_POS.mzML Peak area,,3338_F4_20211213_1_POS
F1_20211214,3338_F1_20211214_1_POS.mzML Peak area,,3338_F4_20211214_1_POS
F2_20211213,3338_F2_20211213_1_POS.mzML Peak area,,3338_F5_20211213_1_POS
F5_20211214,3338_F5_20211214_1_POS.mzML Peak area,,3338_F5_20211214_1_POS
F6_20211214,3338_F6_20211214_1_POS.mzML Peak area,,3338_F6_20211213_1_POS
F6_20211213,3338_F6_20211213_1_POS.mzML Peak area,,3338_F6_20211214_1_POS
