row ID,row m/z,row retention time,index,corr_71.77
1,92.53999939,5.3103,42065,0.2878078901697353
2,92.53999939,5.4877,42066,0.2583622981491603
3,92.54444377,6.518777778,42067,0.21283172208172776
4,92.53999939,6.618,42068,0.28482794090928215
5,92.53999939,6.9907,42069,-0.4309458789324031
6,92.53999939,7.4181,42070,-0.21058531945786133
7,120.4800003,7.8098,42071,0.22361841382613745
8,118.4200012,8.0641,42072,0.12471708182050863
9,92.53999939,8.2071,42073,0.16587604495079106
10,80.51999969,8.2922,42074,-0.23917400412706621
11,92.54999924,9.205,42075,0.7197447255882446
12,92.53999939,9.2563,42076,-0.23172187177425013
13,92.53999939,10.3324,42077,-0.25573277884892154
14,92.52499962,10.771625,42078,0.05402835336378837
15,92.57999878,11.6038,42079,0.5423049056081027
16,92.59999847,12.323,42080,0.37550490953167387
17,70.66666412,13.84816667,42081,0.5349677270125571
18,70.63999786,13.8696,42082,-0.3723712658142436
19,92.53999939,14.3595,42083,0.4083095195784437
20,118.4222234,22.02422222,42084,-0.0421271804710089
21,104.5,22.13022222,42085,-0.26034601337794916
22,104.5,23.4041,42086,-0.06808272883867626
23,92.53999939,23.7887,42087,0.04211934173861092
24,90.53999939,24.5778,42088,-0.06837876683473386
25,107.5,24.75666667,42089,-0.04503453901835429
26,160.3555535,25.05211111,42090,-0.06312345705407019
27,92.54444377,25.16022222,42091,-0.011715829869166833
28,90.53999939,25.4513,42092,0.03968951324047625
29,160.3499985,25.993,42093,-0.2594227811869313
30,104.5,26.563,42094,-0.14792168253119414
31,160.3499985,26.7024,42095,-0.07594057608361027
32,106.5,26.8535,42096,0.22574223801579546
33,104.5,27.06877778,42097,-0.12469929698800561
34,160.3499985,27.9752,42098,-0.18445229886771308
35,160.3250008,28.043,42099,0.1703333245315489
36,118.4222234,28.30166667,42100,-0.15115814331061442
37,108.4000015,29.338125,42101,-0.48095978911099385
38,106.5,30.2685,42102,-0.2804942365115789
39,108.4000015,30.56185714,42103,0.0240365490923037
40,106.5,30.6587,42104,-0.25245283809750146
41,148.3333333,30.97544444,42105,-0.21322941141634363
42,148.3300003,31.7467,42106,-0.23209290902485402
43,118.4222234,31.94544444,42107,-0.2103378352933602
44,160.3555535,32.47355556,42108,-0.2906432949134904
